#########################################################################################################
# Fit coefficients on mass-radius relationships.
#
# Each mass-radius relationship is fitted by a function of the form :
#   log10(Rp/R_Earth) = a*log10(Mp/M_Earth) + exp(-d*(log10(Mp/M_Earth)+c)) + b
#
# Fits are performed only for cases where errcode=0
#
# x_core' : core to core+mantle mass fraction in the planet, i.e. the core mass fraction without taking into account H2O in hydrosphere or atmosphere
# x_H2O : total water mass fraction in the planet (taking into account the mass of H2O in the atmosphere)
# T_irr : irradiation temperature (in K)
# a,b,c,d : coefficients of the fits
# number : out of 20 masses, how many have errcode=0
# MAE : Mean Average Error (in %)
# max error : greatest error (in %) between one point and the fitted function
# loc : location of the point with the greatest error
#
# 2024 update:
# mass_low: lower limit in mass (units of M_e) on the validity range of the fit (lowest valid point)
# mass_up: upper limit in mass (units of M_e) on the validity range of the fit (upper valid point)
#
#########################################################################################################
#
#   x_core'    x_H2O     t_irr                a                b                d                c  number         MAE   max error     loc    mass_low     mass_up
   0.10000   1.00000   1300.00   0.159668743511   0.348770913138   3.132225168782   0.340770723071       9    0.021769    0.038726      12    2.263924   15.704419
   0.20000   0.10000    400.00   0.227668067797   0.101502612297   2.756783968063   1.048301849368      17    0.075421       0.257       5    0.326071   15.702811
   0.20000   0.20000    400.00   0.218317474046   0.134508805137   2.800883796118   0.966940567660      16    0.045223      0.1454       6    0.528807   19.996643
   0.20000   0.30000    400.00   0.212787993557   0.158236615488   2.717953746702   0.937249474822      15    0.047813     0.13775       7    0.673749   19.999664
   0.20000   0.40000    400.00   0.205348090506   0.182773672432   2.823197307964   0.873492878729      15    0.053118     0.13585       7    0.674188   19.995974
   0.20000   0.50000    400.00   0.203074395932   0.198954017721   2.716610294176   0.859224690783      14    0.035748     0.11553       8    0.859149   19.997864
   0.20000   0.60000    400.00   0.200332695471   0.214636069241   2.643304974352   0.846167285327      13      0.0309    0.062594       9    1.093720   19.997944
   0.20000   0.70000    400.00   0.194466021795   0.234536185128   2.755694113334   0.792225546058      13    0.046828     0.14583      11    1.094329   19.987818
   0.20000   0.80000    400.00   0.189121033253   0.253244357346   2.853856358079   0.746021343821      13     0.04375     0.11598      11    1.094874   20.000828
   0.20000   0.90000    400.00   0.186803496100   0.266999609316   2.781642491196   0.737399463674      12    0.028365    0.058011      13    1.394295   19.998046
   0.20000   1.00000    400.00   0.183937966203   0.282211820228   2.797308953531   0.704831236750      12    0.035423    0.077722      12    1.394634   19.995371
